Date/Heure,Client,Balance Type,Item Name,Amount
2025-05-26 15:39:19,symcom_20250401,weighter_balance,,-17
2025-05-26 15:39:23,symcom_20250401,weighter_balance,,-10
2025-05-26 15:39:51,symcom_20250401,weighter_balance,,-4
2025-05-26 15:39:53,symcom_20250401,weighter_balance,,-12
2025-05-26 15:39:56,symcom_20250401,weighter_balance,,-29
2025-05-26 15:39:58,symcom_20250401,weighter_balance,,-10
2025-05-26 15:40:01,symcom_20250401,weighter_balance,,-20
2025-05-26 15:40:09,symcom_20250401,weighter_balance,,-8
2025-05-26 15:40:13,symcom_20250401,weighter_balance,,-11
2025-05-26 15:40:19,symcom_20250401,weighter_balance,,-19
2025-05-26 15:40:22,symcom_20250401,weighter_balance,,-11
2025-05-26 15:40:24,symcom_20250401,weighter_balance,,-17
2025-05-26 15:40:30,symcom_20250401,weighter_balance,,-7
2025-05-26 15:40:33,symcom_20250401,weighter_balance,,-18
2025-05-26 15:40:40,symcom_20250401,weighter_balance,,-7
2025-05-26 15:40:49,symcom_20250401,weighter_balance,,-12
2025-05-26 15:40:53,symcom_20250401,weighter_balance,,-16
2025-05-26 15:41:09,symcom_20250401,weighter_balance,,-6
2025-05-26 15:41:18,symcom_20250401,weighter_balance,,-18
2025-05-26 15:41:25,symcom_20250401,weighter_balance,,-11
2025-05-26 15:41:28,symcom_20250401,weighter_balance,,-11
2025-05-26 15:41:31,symcom_20250401,weighter_balance,,-13
2025-05-26 15:41:47,symcom_20250401,weighter_balance,,-10
2025-05-26 15:41:49,symcom_20250401,weighter_balance,,-17
2025-05-26 15:41:55,symcom_20250401,weighter_balance,,-5
2025-05-26 15:42:41,symcom_20250401,weighter_balance,,-9
2025-05-26 15:42:44,symcom_20250401,weighter_balance,,-16
2025-05-26 15:42:50,symcom_20250401,weighter_balance,,-5
2025-05-26 15:42:53,symcom_20250401,weighter_balance,,-22
2025-05-26 15:42:56,symcom_20250401,weighter_balance,,-20
2025-05-26 15:43:10,symcom_20250401,weighter_balance,,-11
2025-05-26 15:43:24,symcom_20250401,weighter_balance,,-9
2025-05-26 15:43:26,symcom_20250401,weighter_balance,,-14
2025-05-26 15:43:28,symcom_20250401,weighter_balance,,-13
